key	category	name	offer-2023-12-08	default-2023-12-08	offer-2023-12-09	default-2023-12-09
BTY-X80689300320022	food/alkoholische-getränke/wein	Rosengarde Spanischer Rotwein - 6 x 1 l Flasche	11.35	11.35	11.35	11.35
BTY-X98006600320021	food/alkoholische-getränke/wein	Thomas Rath Dornfelder Rotwein QBA trocken 1 l Flasche	4.75	4.75	4.75	4.75
BTY-X36749300320021	food/alkoholische-getränke/wein	Valmarone Merlot trocken Rotwein Venetien - 1 x 0,25 l Flasche	1.49	1.49	1.49	1.49
BTY-X36749300320022	food/alkoholische-getränke/wein	Valmarone Merlot trocken Rotwein Venetien - 24 x 0,25 l Karton	35.7	35.7	35.7	35.7
BTY-X14242800320021	food/alkoholische-getränke/wein	Pueblo Viejo Rioja Reserva Rotwein trocken - 750 ml Flasche	5.34	5.34	5.34	5.34
BTY-X68624900320021	food/alkoholische-getränke/wein	Ca' Ernesto Merlot Delle Venezie Rotwein IGT italienischer Landwein 1,5 l Flasche	7.37	7.37	7.37	7.37
BTY-X95544500320021	food/alkoholische-getränke/wein	Leoff Portugieser Rotwein QBA Qualitätswein 0,75 l Flasche	3.99	3.99	3.99	3.99
BTY-X19929200320021	food/alkoholische-getränke/wein	Emile Durand Chablis Weißwein 0,75 l Flasche	17.84	12.96	17.84	12.96
BTY-X19929200320022	food/alkoholische-getränke/wein	Emile Durand Chablis Weißwein 6 x 0,75 l Flaschen	107.03	77.75	107.03	77.75
BTY-X54487700320021	food/alkoholische-getränke/wein	Leoff weißer Burgunder QBA Qualitätswein 0,75 l Flasche	3.99	3.99	3.99	3.99
BTY-X39211400320021	food/alkoholische-getränke/wein	Claus Jacob Dornfelder Spätburgunder Rotwein - 750 ml Flasche	4.39	4.39	4.39	4.39
BTY-X73156900320021	food/alkoholische-getränke/wein	Ca' Ernesto Valdadige Rosato DOC Roséwein trocken - 750 ml Flasche	4.75	4.75	4.75	4.75
BTY-X14438200320021	food/alkoholische-getränke/wein	Armand Dartois Cotes du Rhone AOC Rotwein trocken - 1,00 l Flasche	4.51	4.51	4.51	4.51
BTY-X45815100320021	food/alkoholische-getränke/wein	CEPA DIVISA Tempranillo Red Rotwein - 750 ml Flasche	4.49	4.49	4.49	4.49
BTY-X93785400320021	food/alkoholische-getränke/wein	Leoff Müller-Thurgau Weißwein QBA Qualitätswein 0,75 l Flasche	3.99	3.99	3.99	3.99
BTY-X58348000320021	food/alkoholische-getränke/wein	Thomas Rath Kerner Weißwein QBA Qualitätswein 1 l Flasche	4.75	4.75	4.75	4.75
BTY-X39332900320021	food/alkoholische-getränke/wein	Claus Jacob Weißburgunder Vulkanfelsen Weißwein trocken - 750 ml Flasche	5.94	5.94	5.94	5.94
BTY-X39332900320022	food/alkoholische-getränke/wein	Claus Jacob Weißburgunder Vulkanfelsen Weißwein trocken - 6 x 750 ml Karton	35.63	35.63	35.63	35.63
BTY-X29001200320021	food/alkoholische-getränke/wein	Thomas Rath Müller-Thurgau Weißwein QBA Qualitätwein 1 l Flasche	4.75	4.75	4.75	4.75
BTY-X56984400320021	food/alkoholische-getränke/wein	Ribeaupierre Merlot Rotwein VDP 0,75 l Flasche	3.99	3.99	3.99	3.99
BTY-X39361400320021	food/alkoholische-getränke/wein	La Sastreria Tinto Rotwein trocken - 0,75 l Flasche	5.34	5.34	5.34	5.34
BTY-X49846000320021	food/alkoholische-getränke/wein	Mirios Imiglykos Rotwein 0,75 l Flasche	2.73	2.73	2.73	2.73
BTY-X39332600320021	food/alkoholische-getränke/wein	Claus Jacob Edition Terroir Buntsandstein Blanc De Noir Weißwein trocken - 750 ml Flasche	5.94	5.94	5.94	5.94
BTY-X39332600320022	food/alkoholische-getränke/wein	Claus Jacob Buntsandstein Blanc De Noir Weißwein trocken - 6 x 750 ml Karton	35.63	35.63	35.63	35.63
BTY-X19452500320021	food/alkoholische-getränke/wein	Ca' Ernesto Delle Venezie Cabernet Sauvignon IGT Rotwein trocken - 1,5 l Flasche	7.37	7.37	7.37	7.37
BTY-X14432200320021	food/alkoholische-getränke/wein	Armand Dartois Châteauneuf-du-Pape Rotwein - 750 ml Flasche	16.48	15.46	16.48	15.46
BTY-X14432200320022	food/alkoholische-getränke/wein	Armand Dartois Châteauneuf-du-Pape Rotwein - 6 x 750 ml Flaschen	98.89	92.75	98.89	92.75
BTY-X86193100320021	food/alkoholische-getränke/wein	Los Pagos Cabernet Sauvignon Rotwein Trocken - 1,5 l Flasche	4.51	4.51	4.51	4.51
BTY-X22641700320021	food/alkoholische-getränke/wein	Ca' Ernesto Cabernet Sauvignon Rotwein DOC Qualitätswein mit kontrollierter Ursprungsbezeichung 750 ml Flasche	4.99	4.99	4.99	4.99
BTY-X28817900320021	food/alkoholische-getränke/wein	Thomas Rath Spätburgunder QbA Rotwein trocken - 1,00 l Flasche	4.75	4.75	4.75	4.75
BTY-X29127700320021	food/alkoholische-getränke/wein	Jean Degaves Bordeaux Rouge Rotwein 0,75 l Flasche	3.56	3.56	3.56	3.56
BTY-X5633200320021	food/alkoholische-getränke/wein	Mirios Imiglykos Rosé Roséwein lieblich - 0,75 l Flasche	2.73	2.73	2.73	2.73
BTY-X56980200320021	food/alkoholische-getränke/wein	Ribeaupierre Chardonnay Weißwein 0,75 l Flasche	3.99	3.99	3.99	3.99
BTY-X14762500320021	food/alkoholische-getränke/wein	Thomas Rath Liebfrauenmilch, QBA, lieblich 6 x 0,75 l Flaschen	17.78	17.78	17.78	17.78
BTY-X14762500320022	food/alkoholische-getränke/wein	Thomas Rath Liebfrauenmilch, QBA, lieblich 0,75 l Flasche	2.96	2.96	2.96	2.96
BTY-X5254700320021	food/alkoholische-getränke/wein	Camino de Castilla Verdejo Viura Weißwein trocken - 0,75 l Flasche	3.56	3.56	3.56	3.56
BTY-X31912200320021	food/alkoholische-getränke/wein	Claus Jacob Grauburgunder Qualitätswein Weißwein trocken - 5 l Bag-in-Box	22.6	22.6	22.6	22.6
BTY-X39210500320021	food/alkoholische-getränke/wein	Batuta Rosado Rosewein Trocken BIB - 5 l Packung	14.27	14.27	14.27	14.27
BTY-X39337400320021	food/alkoholische-getränke/wein	Landhaus QW Weißer Burgunder Weißwein trocken - 1 l Flasche	3.99	3.99	3.99	3.99
BTY-X39337400320022	food/alkoholische-getränke/wein	Landhaus QW Weißer Burgunder Weißwein trocken - 6 x 1 l Karton	23.92	23.92	23.92	23.92
BTY-X85024700320021	food/alkoholische-getränke/wein	Predella Brunello di Montalcino Rotwein trocken - 0,75 l Flasche	17.84	17.84	17.84	17.84
BTY-X13316100320021	food/alkoholische-getränke/wein	Landhaus Hugo Rose - 750 ml Flasche	1.89	1.89	1.89	1.89
BTY-X39362100320021	food/alkoholische-getränke/wein	La Sastreria Tinto Rotwein BIB - 5 l Bag-In-Box	21.41	21.41	21.41	21.41
BTY-X3183100320021	food/alkoholische-getränke/wein	Mirios Imiglykos Weißwein 2 l Flasche	5.94	5.94	5.94	5.94
BTY-X13314400320021	food/alkoholische-getränke/wein	Landhaus Hugo Sprizz - 750 ml Flasche	1.89	1.89	1.89	1.89
BTY-X20450500320021	food/alkoholische-getränke/wein	Alto Di Bruca Vino Nobile di Montepulciano Rotwein trocken - 750 ml Flasche	6.89	6.89	6.89	6.89
BTY-X39331600320021	food/alkoholische-getränke/wein	Claus Jacob Edition Terroir Sauvignon Blanc Kalkstein Weißwein trocken - 750 ml Flasche	5.94	5.94	5.94	5.94
BTY-X39331600320022	food/alkoholische-getränke/wein	Claus Jacob Edition Terroir Sauvignon Blanc Kalkstein Weißwein trocken - 6 x 750 ml Karton	35.63	35.63	35.63	35.63
BTY-X1160900320021	food/alkoholische-getränke/wein	Le Ginestre Chianti Classico Riserva Rotwein - 750 ml Flasche	6.96	6.96	6.96	6.96
BTY-X18639200320021	food/alkoholische-getränke/wein	Il Pozzo Gavi DOCG Weißwein trocken - 750 ml Flasche	6.49	6.49	6.49	6.49
BTY-X37101800320021	food/alkoholische-getränke/wein	Casalina Di Siziano Nero D`Avola Rosato DOC BIB Roséwein trocken - 5,00 l Packung	15.46	15.46	15.46	15.46
BTY-X39295300320021	food/alkoholische-getränke/wein	Claus Jacob Edition Terroir Riesling Kalkstein Weißwein trocken - 750 ml Flasche	5.94	5.94	5.94	5.94
BTY-X39295300320022	food/alkoholische-getränke/wein	Claus Jacob Riesling Kalkstein Weißwein trocken - 6 x 750 ml Karton	35.63	35.63	35.63	35.63
BTY-X19919000320021	food/alkoholische-getränke/wein	Il Pozzo Barolo Rotwein - 0,75 l Flasche	12.96	9.98	12.96	9.98
BTY-X19919000320022	food/alkoholische-getränke/wein	Il Pozzo Barolo Rotwein - 6 x 0,75 l Flaschen	77.75	59.9	77.75	59.9
BTY-X21780400320021	food/alkoholische-getränke/wein	Valmarone Cabernet Sauvignon Delle Venezie Rotwein trocken 0,75 l Flasche	2.61	2.61	2.61	2.61
BTY-X3183900320021	food/alkoholische-getränke/wein	Mirios Retsina Weißwein 2 l Flasche	5.94	5.94	5.94	5.94
BTY-X46548700320021	food/alkoholische-getränke/wein	Movano Amarone Rotwein DOCG höchste Qualitätsstufe 0,75 l Flasche	17.84	17.84	17.84	17.84
BTY-X21555200320021	food/alkoholische-getränke/wein	Leoff Dornfelder QBA trocken 0,25 l Flasche	1.49	1.49	1.49	1.49
BTY-X7089100320021	food/alkoholische-getränke/wein	Ca' Ernesto Bag In Box Pinot Grigio Delle Venezie IGT Weißwein trocken - 5,00 l Packung	20.93	20.93	20.93	20.93
BTY-X22798700320021	food/alkoholische-getränke/wein	Pueblo Viejo Rioja Rotwein - 1,5 l Flasche	5.94	5.94	5.94	5.94
BTY-X3746400320021	food/alkoholische-getränke/wein	Emile Durand Chardonnay Burgogne Weißwein trocken - 750 ml Flasche	9.98	9.98	9.98	9.98
BTY-X3746400320022	food/alkoholische-getränke/wein	Emile Durand Chardonnay Burgogne Weißwein trocken - 6 x 750 ml Karton	59.9	59.9	59.9	59.9
BTY-X86669900320021	food/alkoholische-getränke/wein	Ca'Saletti Bardolino Classico Rotwein DOC Qualitätswein mit kontrollierter Ursprungsbezeichnung 0,75 l Flasche	4.75	4.75	4.75	4.75
BTY-X39361600320021	food/alkoholische-getränke/wein	La Sastreria Garnacha Blanca Weißwein trocken - 0,75 l Flasche	5.34	5.34	5.34	5.34
BTY-X38032200320021	food/alkoholische-getränke/wein	Hüttenglut Winzerglühwein Rotwein - 750 ml Flasche	2.96	2.96	2.96	2.96
BTY-X36444800320021	food/alkoholische-getränke/wein	Echt Guat Veltiner Weißwein trocken - 1 l Flasche	2.96	2.96	2.96	2.96
BTY-X36444800320022	food/alkoholische-getränke/wein	Echt Guat Veltiner Weißwein trocken - 6 x 1 l Flaschen	17.78	17.78	17.78	17.78
BTY-X29002100320021	food/alkoholische-getränke/wein	Thomas Rath Oppenheimer Krötenbrunnen Weißwein QBA Qualitätwein 1 l Flasche	4.75	4.75	4.75	4.75
BTY-X29002100320022	food/alkoholische-getränke/wein	Thomas Rath Oppenheimer Krötenbrunnen Weißwein QBA Qualitätwein 6 x 1 l Flaschen	28.49	28.49	28.49	28.49
BTY-X37107700320021	food/alkoholische-getränke/wein	Casalina Di Siziano Nero Rosato trocken Rotwein Sizilien - 1 x 0,75 l Flasche	3.2	3.2	3.2	3.2
BTY-X3746600320021	food/alkoholische-getränke/wein	Emile Durand Chablis 1er Cru Weißwein trocken - 0,75 l Flasche	19.98	17.84	19.98	17.84
BTY-X3746600320022	food/alkoholische-getränke/wein	Emile Durand Chablis 1er Cru Weißwein trocken - 6 x 0,75 l Flaschen	119.88	107.03	119.88	107.03
BTY-X39362000320021	food/alkoholische-getränke/wein	La Sastreria Garnacha Blanca BIB Weißwein trocken - 5 l Bag-In-Box	21.41	21.41	21.41	21.41
BTY-X21783700320021	food/alkoholische-getränke/wein	Valmarone Cabernet Sauvignon Delle Venezie I.G.T. Rotwein trocken - 1,50 l Flasche	4.99	4.99	4.99	4.99
BTY-X39362300320021	food/alkoholische-getränke/wein	La Sastreria Rosado Rosewein Trocken - 5 l Box	21.41	21.41	21.41	21.41
BTY-X29125500320021	food/alkoholische-getränke/wein	Il Pozzo Barbera d‘Asti D.O.C.G. Rotwein trocken - 0,75 l Flasche	3.56	3.56	3.56	3.56
BTY-X39424300320021	food/alkoholische-getränke/wein	Valmarone Fragolino - 750 ml Flasche	2.96	2.96	2.96	2.96
BTY-X16283600320021	food/alkoholische-getränke/wein	Tessuto Falanghia Salentino IGP Weißwein - 0,75 l Flasche	3.56	3.56	3.56	3.56
BTY-X16283600320022	food/alkoholische-getränke/wein	Tessuto Falanghia Salentino IGP Weißwein - 6 x 0,75 l Flaschen	21.35	21.35	21.35	21.35
BTY-X17423100320021	food/alkoholische-getränke/wein	Don Pablo Sherry Pedro Ximenez 17,0 % 0,75 l Flasche	6.65	6.65	6.65	6.65
BTY-X17423100320022	food/alkoholische-getränke/wein	Don Pablo Sherry Pedro Ximenez 17,0 % 6 x 0,75 l Flaschen	39.91	39.91	39.91	39.91
BTY-X17609100320021	food/alkoholische-getränke/wein	Don Pablo Porto Rosé 19 % Vol 0,75 l Flasche	5.7	5.7	5.7	5.7
BTY-X22792100320021	food/alkoholische-getränke/wein	Hüttenglut Amarettopunsch - 1,00 l Flasche	1.89	1.89	1.89	1.89
BTY-X30779600320023	food/alkoholische-getränke/wein	Mirios Retsina Weißwein trocken - 12 x 0,5 l Karton	23.85	23.85	23.85	23.85
BTY-X30779600320021	food/alkoholische-getränke/wein	Mirios Retsina Weißwein trocken - 1 x 0,5 l Flasche	1.99	1.99	1.99	1.99
BTY-X39027000320021	food/alkoholische-getränke/wein	Landhaus Spätburgunder trocken Rotwein - 1 l Flasche	3.99	3.99	3.99	3.99
BTY-X39027000320022	food/alkoholische-getränke/wein	Landhaus Spätburgunder trocken Rotwein - 6 x 1 l Karton	23.92	23.92	23.92	23.92
BTY-X39363800320021	food/alkoholische-getränke/wein	La Sastreria Tinto Rotwein trocken - 1,5 l Flasche	9.98	9.98	9.98	9.98
BTY-X39363800320022	food/alkoholische-getränke/wein	La Sastreria Tinto Rotwein trocken - 6 x 1,5 l Karton	59.9	59.9	59.9	59.9
BTY-X41455700320021	food/alkoholische-getränke/wein	La Sastreria Blanca Weißwein trocken - 1,5 l Flasche	9.98	9.98	9.98	9.98
BTY-X41455700320022	food/alkoholische-getränke/wein	La Sastreria Blanca Weißwein trocken - 6 x 1,5 l Karton	59.9	59.9	59.9	59.9
BTY-X45815200320021	food/alkoholische-getränke/wein	CEPA DIVISA Viura White Weißwein trocken - 750 ml Flasche	4.49	4.49	4.49	4.49
BTY-X54538200320021	food/alkoholische-getränke/wein	Leoff Spätburgunder Rotwein QBA Qualitätswein 0,75 l Flasche	3.99	3.99	3.99	3.99
BTY-X63464700320021	food/alkoholische-getränke/wein	Michel Laurent Pouilly-Fumé Grande Réserve Weißwein 2012 - 0,75 l Flasche	13.79	11.89	13.79	11.89
BTY-X63464700320022	food/alkoholische-getränke/wein	Michel Laurent Pouilly-Fumé Grande Réserve Weißwein 2012 - 6 x 0,75 l Flaschen	82.75	71.33	82.75	71.33
BTY-X8883300320021	food/alkoholische-getränke/wein	INSÓLITO Tinto Rotwein 750 ml Flasche	3.99	3.99	3.99	3.99
BTY-X8883800320021	food/alkoholische-getränke/wein	INSÓLITO Alentejano Bianco Weißwein 750 ml Flasche	3.99	3.99	3.99	3.99
BTY-X29156100320021	food/alkoholische-getränke/wein	Marqués Campoalto Henriques Medium Sweet Madeira Wein 19 % Vol. - 750 ml Flasche	9.82	9.82	9.82	9.82
BTY-X29156100320022	food/alkoholische-getränke/wein	Marqués Campoalto Henriques Medium Sweet Madeira Wein 19 % Vol. - 6 x 750 ml Karton	58.91	58.91	58.91	58.91
BTY-X16208800320021	food/alkoholische-getränke/wein	Domkellerstolz Rotwein 1 l Packung	1.69	1.69	1.69	1.69
BTY-X19105200320021	food/alkoholische-getränke/wein	Gerstacker Christkindles Kinderpunsch fruchtig - 10,00 l Box	20.81	20.81	20.81	20.81
BTY-X16207600320021	food/alkoholische-getränke/wein	Domkellerstolz Weißwein 1 l Packung	1.69	1.69	1.69	1.69
BTY-X59361500320021	food/alkoholische-getränke/wein	Scavi & Ray Prosecco Frizzante D.O.C. trocken - 750 ml Flasche	6.53	6.53	6.53	6.53
BTY-X59361500320022	food/alkoholische-getränke/wein	Scavi & Ray Prosecco Frizzante D.O.C. trocken - 6 x 750 ml Flaschen	39.2	39.2	39.2	39.2
BTY-X84608600320021	food/alkoholische-getränke/wein	Grand Sud Chardonnay Weißwein - 1 l Flasche	4.99	4.99	4.99	4.99
BTY-X84608600320022	food/alkoholische-getränke/wein	Grand Sud Chardonnay Weißwein - 6 x 1 l Flaschen	29.92	29.92	29.92	29.92
BTY-X94293700320021	food/alkoholische-getränke/wein	Sandeman Medium Dry Sherry 15 % Vol. 0,75 l Flasche	6.65	5.7	6.65	5.7
BTY-X94293700320022	food/alkoholische-getränke/wein	Sandeman Medium Dry Sherry 15 % Vol. 6 x 0,75 l Flaschen	39.91	34.2	39.91	34.2
BTY-X80426300320021	food/alkoholische-getränke/wein	Nürnberger Christkindlesmarkt Glühwein - 1 l Flasche	3.32	3.32	3.32	3.32
BTY-X3959200320021	food/alkoholische-getränke/wein	Trapiche Malbec 2013 Rotwein 0,75 l Flasche	5.94	5.94	5.94	5.94
BTY-X3959200320022	food/alkoholische-getränke/wein	Trapiche Malbec 2013 Rotwein 6 x 0,75 l Flaschen	35.63	35.63	35.63	35.63
BTY-X87031000320021	food/alkoholische-getränke/wein	Grand Sud Merlot Rotwein fruchtig, trocken - 1 l Flasche	4.99	4.99	4.99	4.99
BTY-X87031000320022	food/alkoholische-getränke/wein	Grand Sud Merlot Rotwein fruchtig, trocken - 6 x 1 l Flaschen	29.92	29.92	29.92	29.92
BTY-X22130200320021	food/alkoholische-getränke/wein	Tholomies Crémant de Limoux Tholomies Brut - 750 ml Flasche	7.96	7.96	7.96	7.96
BTY-X31595900320021	food/alkoholische-getränke/wein	Il Passo Puglia Primitivo Rotwein trocken - 5 l Packung	29.74	29.74	29.74	29.74
BTY-X36273100320021	food/alkoholische-getränke/wein	Cà Dei Frati Lugana i Frati DOC Weißwein trocken - 750 ml Flasche	14.27	14.27	14.27	14.27
BTY-X36273100320022	food/alkoholische-getränke/wein	Cà Dei Frati Lugana i Frati DOC Weißwein trocken - 6 x 750 ml Flaschen	85.61	85.61	85.61	85.61
BTY-X32563000320021	food/alkoholische-getränke/wein	Soprano Primitivo Rotwein trocken - 0,75 l Flasche	4.15	4.15	4.15	4.15
BTY-X16773700320021	food/alkoholische-getränke/wein	Heinrich Vollmer Riesling Pfalz Weißwein trocken - 0,75 l Flasche	4.99	4.99	4.99	4.99
BTY-X16773700320022	food/alkoholische-getränke/wein	Heinrich Vollmer Riesling Pfalz Weißwein trocken - 6 x 0,75 l Flaschen	29.92	29.92	29.92	29.92
BTY-X21920000320021	food/alkoholische-getränke/wein	J.P. CHENET Weißwein Original Colombard Sauvignon - 250 ml Flasche	1.77	1.77	1.77	1.77
BTY-X3002800320021	food/alkoholische-getränke/wein	Zenato Lugana San Benedetto Weißwein 0,75 l Flasche	9.51	9.51	9.51	9.51
BTY-X3002800320022	food/alkoholische-getränke/wein	Zenato Lugana San Benedetto Weißwein 6 x 0,75 l Flaschen	57.05	57.05	57.05	57.05
BTY-X17729700320021	food/alkoholische-getränke/wein	Miraval Cotes de Provence Rosé AOC Roséwein trocken - 750 ml Flasche	18.98	18.98	18.98	18.98
BTY-X17729700320022	food/alkoholische-getränke/wein	Miraval Cotes de Provence Rosé AOC Roséwein trocken - 6 x 750 ml Flaschen	128.45	113.88	128.45	113.88
BTY-X1607700320021	food/alkoholische-getränke/wein	Domaines Barons de Rothschild Lafite Bodegas Caro Malbec Rotwein - 750 ml Flasche	11.89	9.98	11.89	9.98
BTY-X1607700320022	food/alkoholische-getränke/wein	Domaines Barons de Rothschild Lafite Bodegas Caro Malbec Rotwein - 6 x 750 ml Karton	71.33	59.9	71.33	59.9
BTY-X86615700320021	food/alkoholische-getränke/wein	WEINLAND RHEINGAU Riesling Rauenthaler Steinmächer Riesling Weißwein trocken - 1 l Flasche	6.3	6.3	6.3	6.3
BTY-X86615700320022	food/alkoholische-getränke/wein	WEINLAND RHEINGAU Riesling Rauenthaler Steinmächer Riesling Weißwein trocken - 6 x 1 l Flaschen	37.77	37.77	37.77	37.77
BTY-X557800320023	food/alkoholische-getränke/wein	Cloudy Bay Sauvignon Blanc Weißwein trocken - 6 x 750 ml Flaschen	171.29	132.02	171.29	132.02
BTY-X557800320021	food/alkoholische-getränke/wein	Cloudy Bay Sauvignon Blanc Weißwein trocken - 750 ml Flasche	28.55	22.0	28.55	22.0
BTY-X71601300320021	food/alkoholische-getränke/wein	Württemberger Lemberger Weißherbst QbA Roséwein halbtrocken - 750 ml Flasche	4.99	4.99	4.99	4.99
BTY-X26489900320021	food/alkoholische-getränke/wein	Oberbergener Kabinett Baßgeige Grauer Burgunder Weißwein trocken - 0,75 l Flasche	5.94	5.94	5.94	5.94
BTY-X26489900320022	food/alkoholische-getränke/wein	Oberbergener Kabinett Baßgeige Grauer Burgunder Weißwein trocken - 6 x 0,75 l Flaschen	35.63	35.63	35.63	35.63
BTY-X9284600320021	food/alkoholische-getränke/wein	Weico St.Lorenz Sangria Las Frutas Rotwein - 1,5 l Flasche	2.37	2.37	2.37	2.37
BTY-X85133600320021	food/alkoholische-getränke/wein	Blanchet Blanc de Blancs französischer halbtrockener Weißwein - 750 ml Flasche	3.56	3.56	3.56	3.56
BTY-X32312400320021	food/alkoholische-getränke/wein	Oma's Glühwein - 1 l Faltschachtel	1.65	1.65	1.65	1.65
BTY-X39452300320021	food/alkoholische-getränke/wein	Bree Weiß Weißwein Alkoholfrei - 750 ml Flasche	4.99	4.99	4.99	4.99
BTY-X39452300320022	food/alkoholische-getränke/wein	Bree Weiß Weißwein Alkoholfrei - 6 x 750 ml Karton	29.92	29.92	29.92	29.92
BTY-X98026900320023	food/alkoholische-getränke/wein	Regaleali Bianco Weißwein IGT trocken italienischer Landwein 0,75 l Flasche	9.39	9.39	9.39	9.39
BTY-X19505500320021	food/alkoholische-getränke/wein	Zenato Chardonnay IGT Weißwein trocken - 750 ml Flasche	9.98	9.98	9.98	9.98
BTY-X19505500320022	food/alkoholische-getränke/wein	Zenato Chardonnay IGT Weißwein trocken - 6 x 750 ml Flaschen	59.9	59.9	59.9	59.9
BTY-X1810900320021	food/alkoholische-getränke/wein	ILLIVIA Primitivo Rosé Roséwein - 0,75 l Flasche	7.01	7.01	7.01	7.01
BTY-X3019400320021	food/alkoholische-getränke/wein	Zenato Bardolino Chiaretto DOC Roséwein - 750 ml Flasche	7.37	7.37	7.37	7.37
BTY-X92129100320021	food/alkoholische-getränke/wein	Campo Viejo Rotwein Tempranillo Rioja trocken - 750 ml Flasche	6.49	6.49	6.49	6.49
BTY-X10191200320021	food/alkoholische-getränke/wein	Antichi Baronati Marsala Doc Fine 17 % Vol. - 2 l Flasche	10.94	10.94	10.94	10.94
BTY-X10191200320022	food/alkoholische-getränke/wein	Antichi Baronati Marsala Doc Fine 17 % Vol. - 6 x 2 l Flaschen	65.62	65.62	65.62	65.62
BTY-X32161100320021	food/alkoholische-getränke/wein	Robby Bubble Jungle Party 100 % Fruchtgehalt Glas - 0,75 l Flasche	3.2	3.2	3.2	3.2
BTY-X34769200320021	food/alkoholische-getränke/wein	Farnese Merlot Rotwein trocken - 1 x 0,75 l Flasche	7.49	7.49	7.49	7.49
BTY-X34769200320022	food/alkoholische-getränke/wein	Farnese Merlot Rotwein trocken - 6 x 0,75 l Karton	44.91	44.91	44.91	44.91
BTY-X41303000320021	food/alkoholische-getränke/wein	Hans Baer Pinot Noir Trocken - 750 ml Flasche	4.75	4.75	4.75	4.75
BTY-X41303000320022	food/alkoholische-getränke/wein	Hans Baer Pinot Noir Trocken - 6 x 750 ml Karton	28.49	28.49	28.49	28.49
BTY-X10630900320021	food/alkoholische-getränke/wein	Gerstacker Nürnberger Christkindles Marktglühwein 10 l Box	24.98	24.98	24.98	24.98
BTY-X27421700320021	food/alkoholische-getränke/wein	Farnese Primitivo Rotwein trocken - 0,75 l Flasche	7.49	7.49	7.49	7.49
BTY-X27421700320022	food/alkoholische-getränke/wein	Farnese Primitivo Rotwein trocken - 6 x 0,75 l Flaschen	44.91	44.91	44.91	44.91
BTY-X38291700320021	food/alkoholische-getränke/wein	Nürnberger Rauschgold-Engel Glühwein Weiß - 1 l Flasche	3.56	3.56	3.56	3.56
BTY-X38291700320022	food/alkoholische-getränke/wein	Nürnberger Rauschgold-Engel Glühwein Weiß - 6 x 1 l Karton	21.35	21.35	21.35	21.35
BTY-X3076900320021	food/alkoholische-getränke/wein	BIDOLI MARGHERITA Sauvignon Blanc Friuli Grave Weißwein trocken - 0,75 l Flasche	7.84	6.96	7.84	6.96
BTY-X3076900320022	food/alkoholische-getränke/wein	BIDOLI MARGHERITA Sauvignon Blanc Friuli Grave Weißwein trocken - 6 x 750 ml Flaschen	47.05	41.77	47.05	41.77
BTY-X36273200320021	food/alkoholische-getränke/wein	Cà Dei Frati Rosa Dei Frati Cuveé DOC Roséwein trocken - 750 ml Flasche	14.27	14.27	14.27	14.27
BTY-X36273200320022	food/alkoholische-getränke/wein	Cà Dei Frati Rosa Dei Frati Cuveé DOC Roséwein trocken - 6 x 750 ml Flaschen	85.61	85.61	85.61	85.61
BTY-X15700320021	food/alkoholische-getränke/wein	Doppio Passo Salento Primitivo IGT Rotwein halbtrocken - 750 ml Flasche	4.99	4.99	4.99	4.99
BTY-X15700320022	food/alkoholische-getränke/wein	Doppio Passo Salento Primitivo IGT Rotwein halbtrocken - 6 x 750 ml Flaschen	29.92	29.92	29.92	29.92
BTY-X21921600320021	food/alkoholische-getränke/wein	J.P. CHENET Wein Original Cabernet-Syrah Rotwein trocken - 0,25 l Flasche	1.77	1.77	1.77	1.77
BTY-X37560700320021	food/alkoholische-getränke/wein	Krems Grüner Veltliner Weißwein QBA trocken 750 ml Flasche	5.94	5.94	5.94	5.94
BTY-X28909100320021	food/alkoholische-getränke/wein	La Mordida Tempranillo halbtrocken - 0,75 l Flasche	5.94	5.94	5.94	5.94
BTY-X28909100320022	food/alkoholische-getränke/wein	La Mordida Tempranillo halbtrocken - 6 x 0,75 l Flaschen	35.63	35.63	35.63	35.63
BTY-X85095700320021	food/alkoholische-getränke/wein	Sud Vin de France Grand Sud Chardonnay Weißwein 0,25 l Flasche	1.59	1.59	1.59	1.59
BTY-X12795000320021	food/alkoholische-getränke/wein	Scavi & Ray Alkoholfrei Sparkling Schaumwein - 750 ml Flasche	5.7	5.7	5.7	5.7
BTY-X12795000320022	food/alkoholische-getränke/wein	Scavi & Ray Alkoholfrei Sparkling Schaumwein - 6 x 750 ml Flaschen	34.2	34.2	34.2	34.2
BTY-X10419100320021	food/alkoholische-getränke/wein	Villa Antinori Santa Cristina Rosso Toscana IGT Rotwein italienischer Landwein - 750 ml Flasche	9.51	7.49	9.51	7.49
BTY-X10419100320022	food/alkoholische-getränke/wein	Villa Antinori Santa Cristina Rosso Toscana IGT Rotwein italienischer Landwein - 6 x 750 ml Flaschen	57.05	44.91	57.05	44.91
BTY-X36913000320021	food/alkoholische-getränke/wein	Zenato Lugano Lago trocken Trebbiano di Lugano, Chardonnay Weißwein Venetien - 1 x 0,75 l Flasche	7.96	7.96	7.96	7.96
BTY-X36913000320022	food/alkoholische-getränke/wein	Zenato Lugano Lago trocken Trebbiano di Lugano, Chardonnay Weißwein Venetien - 6 x 0,75 l Karton	47.77	47.77	47.77	47.77
