key	category	name	offer-2023-12-08	default-2023-12-08	offer-2023-12-09	default-2023-12-09	offer-2023-12-10	default-2023-12-10	offer-2023-12-11	default-2023-12-11	offer-2023-12-12	default-2023-12-12	offer-2023-12-13	default-2023-12-13	offer-2023-12-14	default-2023-12-14	offer-2023-12-15	default-2023-12-15	offer-2023-12-16	default-2023-12-16	offer-2023-12-17	default-2023-12-17	offer-2023-12-18	default-2023-12-18	offer-2023-12-20	default-2023-12-20
BTY-X55371400320021	food/fleisch-wurstwaren/fleisch/rind/irish-beef	Jungbullen Zungenstück ohne Knochen, vak.-verpackt 4 - 6 kg Karton	10.69	10.69	10.69	10.69	10.69	10.69	10.69	10.69	10.69	10.69	10.69	10.69	10.69	10.69	10.69	10.69	11.01	11.01	11.01	11.01	9.08	9.08	9.08	9.08
BTY-Z23800320021	food/fleisch-wurstwaren/fleisch/rind/argentinisches-rindfleisch	Argentinisches Rinder-Entrecôte (Ribeye)	22.46	22.46	22.46	22.46	22.46	22.46	22.46	22.46	22.46	22.46	22.46	22.46	22.46	22.46	22.46	22.46	22.46	22.46	22.46	22.46	22.46	22.46	19.25	19.25
BTY-X1552600340021	food/obst/südfrüchte-zitrusfrüchte/zitrone	METRO Chef Zitronen Südafrika - 1,5 kg Netz																	3.52	3.52			2.66	2.66	2.66	2.66
BTY-X53956600320021	food/alkoholische-getränke/wein	André Vonnier Beaujolais Nouveau Rotwein trocken - 750 ml Flasche	5.7	5.7	5.7	5.7	5.7	5.7	5.7	5.7	5.7	5.7	5.7	5.7	5.7	5.7	5.7	5.7	5.7	5.7	4.76	4.76	4.76	4.76	4.76	4.76
BTY-X41131800320021	food/fleisch-wurstwaren/wurst-schinken/schinken-speck/rohschinken	METRO Chef Prosciutto Crudo mit Knochen - 1 kg Kilogramm	16.04	16.04	16.04	16.04	16.04	16.04	23.1	16.04	16.04	16.04	16.04	16.04	23.1	16.04	16.04	16.04	16.04	16.04	23.1	16.04	23.1	16.04	16.04	16.04
BTY-X17350500320021	food/fisch/salzwasserfische/thunfisch	Thunfischloin, mit Haut, aufgetaut, ca. 8 - 12 kg	41.18	41.18	41.18	41.18	41.18	41.18	37.97	37.97	37.97	37.97	37.97	37.97	37.97	37.97	37.97	37.97	37.97	37.97	37.97	37.97	33.16	33.16	33.16	33.16
BTY-X37931600320022	food/obst/südfrüchte-zitrusfrüchte/orange	Essorangen - Spanien - 6 x 500 g Karton	27.71	27.71	27.71	27.71	27.71	27.71	28.78	28.78	28.78	28.78	28.78	28.78	28.78	28.78	28.78	28.78	28.78	28.78	28.78	28.78	28.78	28.78	24.6	24.6
BTY-Z10700320021	food/obst/südfrüchte-zitrusfrüchte/orange	Orangen 3kg	4.91	4.91	4.91	4.91	4.91	4.91	4.91	4.91	4.91	4.91	4.91	4.91	4.91	4.91	4.91	4.91	4.91	4.91	4.91	4.91	4.91	4.91	4.27	4.27
BTY-X34308500350021	food/fleisch-wurstwaren/fleisch-tiefgekühlt	Cedrob Polnische Hafermastgans, tiefgefroren - ca. 3,8 kg Stück	22.73	22.73	22.73	22.73	22.73	22.73	22.73	22.73	22.73	22.73			18.05	18.05	18.05	18.05	18.05	18.05	18.05	18.05			18.05	18.05
BTY-X12608800350021	food/fleisch-wurstwaren/fleisch-tiefgekühlt	Roldrob Polnische Hafermastgans tiefgefroren - ca. 4,8 kg Stück	28.71	28.71	28.71	28.71	28.71	28.71	28.71	28.71	28.71	28.71	22.8	22.8	22.8	22.8			22.8	22.8	22.8	22.8			22.8	22.8
BTY-X34308500350022	food/fleisch-wurstwaren/fleisch-tiefgekühlt	Cedrob Polnische Hafermastgans, tiefgefroren - 4 x ca. 3,8 kg Stücke	90.92	90.92	90.92	90.92	90.92	90.92	90.92	90.92	90.92	90.92			72.21	72.21	72.21	72.21	72.21	72.21	72.21	72.21			72.21	72.21
BTY-X12608800350022	food/fleisch-wurstwaren/fleisch-tiefgekühlt	Roldrob Polnische Hafermastgans tiefgefroren - 3 x ca. 4,8 kg Stücke	86.14	86.14	86.14	86.14	86.14	86.14	86.14	86.14	86.14	86.14	68.42	68.42	68.42	68.42			68.42	68.42	68.42	68.42			68.42	68.42
BTY-X44685200320021	food/alkoholfreie-getränke/tee-kaffee-kakao/kaffee-espresso	Eduscho Caffè Crema Kräftig ganze Bohnen - 1 kg Beutel	14.99	14.99	14.99	14.99	14.99	14.99	9.99	9.99	9.99	9.99	9.99	9.99	9.99	9.99	9.99	9.99	9.99	9.99	9.99	9.99	9.99	9.99	9.99	9.99
BTY-X68959300320022	food/feinkost/fleisch-wurstwaren	Schleizer Wiener - 300 g Stück	4.91	4.91	4.91	4.91	4.91	4.91	4.91	4.91	4.91	4.91	4.91	4.91	4.91	4.91	4.91	4.91	4.91	4.91	4.91	4.91	4.27	4.27	4.27	4.27
BTY-X37931600320021	food/obst/südfrüchte-zitrusfrüchte/orange	Essorangen - Spanien - 3 kg Netz	4.91	4.91	4.91	4.91	4.91	4.91	4.91	4.91	4.91	4.91	4.91	4.91	4.91	4.91	4.91	4.91	4.91	4.91	4.91	4.91	4.27	4.27	4.27	4.27
BTY-X2539900330021	food/obst/exoten/kiwi	Kiwi Grün Italien - 1 kg Schachtel	3.52	3.52			3.52	3.52	3.52	3.52	3.52	3.52	3.52	3.52	2.77	2.77	2.77	2.77	2.77	2.77	2.77	2.77	2.77	2.77	2.77	2.77
BTY-Z159300320021	food/fisch/salzwasserfische/seelachs	MSC Seelachsfilet, ohne Haut, ca. 200 - 400g	13.69	13.69	13.69	13.69	13.69	13.69	13.69	13.69	13.15	13.15	13.15	13.15	13.15	13.15	13.15	13.15	13.15	13.15	13.15	13.15	13.15	13.15	11.76	11.76
BTY-X29810900320022	food/tiefkühl/kartoffelprodukte-und-backwaren	METRO Chef Kroketten lang tiefgefroren - 4 x 2,5 kg Beutel	21.36	20.5	21.36	20.5	21.36	20.5	21.36	20.5	21.36	20.5	21.36	20.5	21.36	20.5	21.36	20.5	21.36	20.5	21.36	20.5	21.36	20.5	18.83	18.83
BTY-X12608800330022	food/fleisch-wurstwaren/fleisch-tiefgekühlt	Roldrob Polnische Hafermastgans tiefgefroren - 3 x ca. 4,4 kg Karton	78.96	78.96	78.96	78.96	78.96	78.96	78.96	78.96	78.96	78.96	62.71	62.71	62.71	62.71			62.71	62.71	62.71	62.71	62.71	62.71	62.71	62.71
BTY-X12608800340021	food/fleisch-wurstwaren/fleisch-tiefgekühlt	Roldrob Polnische Hafermastgans tiefgefroren - ca. 4,6 kg Stück	27.51	27.51	27.51	27.51	27.51	27.51	27.51	27.51	27.51	27.51	21.85	21.85	21.85	21.85			21.85	21.85	21.85	21.85	21.85	21.85	21.85	21.85
BTY-X12608800340022	food/fleisch-wurstwaren/fleisch-tiefgekühlt	Roldrob Polnische Hafermastgans tiefgefroren - 3 x ca. 4,6 kg Stücke	82.54	82.54	82.54	82.54	82.54	82.54	82.54	82.54	82.54	82.54	65.56	65.56	65.56	65.56			65.56	65.56	65.56	65.56	65.56	65.56	65.56	65.56
BTY-X12608800330021	food/fleisch-wurstwaren/fleisch-tiefgekühlt	Roldrob Polnische Hafermastgans tiefgefroren - ca. 4,4 kg Stück	26.32	26.32	26.32	26.32	26.32	26.32	26.32	26.32	26.32	26.32	20.91	20.91	20.91	20.91			20.91	20.91	20.91	20.91	20.91	20.91	20.91	20.91
BTY-X46398200320021	food/fleisch-wurstwaren/fleisch-tiefgekühlt	Dithmarscher Geflügel Junge Gans aus Freilandhaltung tiefgefroren, ca. 3,6 - 6 kg Stücke, deutsche Herkunft, vak.-verpackt 12 kg Karton	14.97	14.97	14.97	14.97	14.97	14.97	14.97	14.97	14.97	14.97	11.76	11.76	11.76	11.76	11.76	11.76	11.76	11.76	11.76	11.76	11.76	11.76	11.76	11.76
BTY-X44873700330021	food/alkoholfreie-getränke/tee-kaffee-kakao/kaffee-espresso	Eduscho Filterkaffee Kräftig gemahlen - 500 g Beutel	6.99	6.99	6.99	6.99			4.49	4.49	4.49	4.49	4.49	4.49	4.49	4.49	4.49	4.49			4.49	4.49	4.49	4.49	4.49	4.49
BTY-X41132000320021	food/fleisch-wurstwaren/wurst-schinken/schinken-speck/rohschinken	METRO Chef Prosciutto Crudo ca. 5,5 kg - je kg	16.04	16.04	16.04	16.04	16.04	16.04	21.39	16.04	16.04	16.04	16.04	16.04	21.39	16.04	16.04	16.04	16.04	16.04	21.39	16.04	21.39	16.04	16.04	16.04
BTY-X7630600320021	food/fleisch-wurstwaren/fleisch/kalb	METRO Chef Kalb Karree - French Rack gekühlt vak.-verpackt	33.16	27.81	33.16	27.81	33.16	27.81	33.16	27.81	33.16	27.81	33.16	27.81	26.74	26.74	27.81	27.81	33.16	27.81	27.81	27.81	27.81	27.81	27.81	27.81
BTY-X34308500360021	food/fleisch-wurstwaren/fleisch-tiefgekühlt	Cedrob Polnische Hafermastgans, tiefgefroren - ca. 4 kg Stück	23.93	23.93	23.93	23.93	23.93	23.93	23.93	23.93	23.93	23.93	19.0	19.0	19.0	19.0	19.0	19.0	19.0	19.0	19.0	19.0	19.0	19.0	19.0	19.0
BTY-X12371600330021	food/fleisch-wurstwaren/fleisch-tiefgekühlt	Polnische Hafermastgans tiefgefroren - ca. 3,8 kg Stück	22.73	22.73	22.73	22.73	22.73	22.73	22.73	22.73	22.73	22.73	18.05	18.05	18.05	18.05	18.05	18.05	18.05	18.05	18.05	18.05	18.05	18.05	18.05	18.05
BTY-X34308600330022	food/fleisch-wurstwaren/fleisch-tiefgekühlt	Cedrob Polnische Hafermastgans, tiefgefroren - 3 x ca. 4,4 kg Stücke	78.96	78.96	78.96	78.96	78.96	78.96	78.96	78.96	78.96	78.96	62.71	62.71	62.71	62.71	62.71	62.71	62.71	62.71	62.71	62.71	62.71	62.71	62.71	62.71
BTY-X12373800330022	food/fleisch-wurstwaren/fleisch-tiefgekühlt	Polnische Hafermastgans tiefgefroren - 3 x ca. 4,4 kg Stücke	78.96	78.96	78.96	78.96	78.96	78.96	78.96	78.96	78.96	78.96	62.71	62.71	62.71	62.71	62.71	62.71	62.71	62.71	62.71	62.71	62.71	62.71	62.71	62.71
BTY-X12371600330022	food/fleisch-wurstwaren/fleisch-tiefgekühlt	Polnische Hafermastgans tiefgefroren - 4 x ca. 3,8 kg Stücke	90.92	90.92	90.92	90.92	90.92	90.92	90.92	90.92	90.92	90.92	72.21	72.21	72.21	72.21	72.21	72.21	72.21	72.21	72.21	72.21	72.21	72.21	72.21	72.21
BTY-X34308500340021	food/fleisch-wurstwaren/fleisch-tiefgekühlt	Cedrob Polnische Hafermastgans, tiefgefroren - ca. 3,6 kg Stück	21.53	21.53	21.53	21.53	21.53	21.53	21.53	21.53	21.53	21.53	17.1	17.1	17.1	17.1	17.1	17.1	17.1	17.1	17.1	17.1	17.1	17.1	17.1	17.1
BTY-X12371600320021	food/fleisch-wurstwaren/fleisch-tiefgekühlt	Polnische Hafermastgans tiefgefroren - ca. 3,6 kg Stück	21.53	21.53	21.53	21.53	21.53	21.53	21.53	21.53	21.53	21.53	17.1	17.1	17.1	17.1	17.1	17.1	17.1	17.1	17.1	17.1	17.1	17.1	17.1	17.1
BTY-X34308500360022	food/fleisch-wurstwaren/fleisch-tiefgekühlt	Cedrob Polnische Hafermastgans, tiefgefroren - 4 x ca. 4 kg Stück	95.7	95.7	95.7	95.7	95.7	95.7	95.7	95.7	95.7	95.7	76.01	76.01	76.01	76.01	76.01	76.01	76.01	76.01	76.01	76.01	76.01	76.01	76.01	76.01
BTY-X12373800340021	food/fleisch-wurstwaren/fleisch-tiefgekühlt	Polnische Hafermastgans tiefgefroren - ca. 4,6 kg Stück	27.51	27.51	27.51	27.51	27.51	27.51	27.51	27.51	27.51	27.51	21.85	21.85	21.85	21.85	21.85	21.85	21.85	21.85	21.85	21.85	21.85	21.85	21.85	21.85
BTY-X34308600340021	food/fleisch-wurstwaren/fleisch-tiefgekühlt	Cedrob Polnische Hafermastgans, tiefgefroren - ca. 4,6 kg Stück	27.51	27.51	27.51	27.51	27.51	27.51	27.51	27.51	27.51	27.51	21.85	21.85	21.85	21.85	21.85	21.85	21.85	21.85	21.85	21.85	21.85	21.85	21.85	21.85
BTY-X12373800340022	food/fleisch-wurstwaren/fleisch-tiefgekühlt	Polnische Hafermastgans tiefgefroren - 3 x ca. 4,6 kg Stücke	82.54	82.54	82.54	82.54	82.54	82.54	82.54	82.54	82.54	82.54	65.56	65.56	65.56	65.56	65.56	65.56	65.56	65.56	65.56	65.56	65.56	65.56	65.56	65.56
BTY-X34308600340022	food/fleisch-wurstwaren/fleisch-tiefgekühlt	Cedrob Polnische Hafermastgans, tiefgefroren - 3 x ca. 4,6 kg Stücke	82.54	82.54	82.54	82.54	82.54	82.54	82.54	82.54	82.54	82.54	65.56	65.56	65.56	65.56	65.56	65.56	65.56	65.56	65.56	65.56	65.56	65.56	65.56	65.56
BTY-X34308500340022	food/fleisch-wurstwaren/fleisch-tiefgekühlt	Cedrob Polnische Hafermastgans, tiefgefroren - 4 x ca. 3,6 kg Stücke	86.14	86.14	86.14	86.14	86.14	86.14	86.14	86.14	86.14	86.14	68.42	68.42	68.42	68.42	68.42	68.42	68.42	68.42	68.42	68.42	68.42	68.42	68.42	68.42
BTY-X12371600320022	food/fleisch-wurstwaren/fleisch-tiefgekühlt	Polnische Hafermastgans tiefgefroren - 4 x ca. 3,6 kg Stücke	86.14	86.14	86.14	86.14	86.14	86.14	86.14	86.14	86.14	86.14	68.42	68.42	68.42	68.42	68.42	68.42	68.42	68.42	68.42	68.42	68.42	68.42	68.42	68.42
BTY-X34308600320022	food/fleisch-wurstwaren/fleisch-tiefgekühlt	Cedrob Polnische Hafermastgans, tiefgefroren - 3 x ca. 4,2 kg Stücke	75.36	75.36	75.36	75.36	75.36	75.36	75.36	75.36	75.36	75.36	59.86	59.86	59.86	59.86	59.86	59.86	59.86	59.86	59.86	59.86	59.86	59.86	59.86	59.86
BTY-X12373800320022	food/fleisch-wurstwaren/fleisch-tiefgekühlt	Polnische Hafermastgans tiefgefroren - 3 x ca. 4,2 kg Stücke	75.36	75.36	75.36	75.36	75.36	75.36	75.36	75.36	75.36	75.36	59.86	59.86	59.86	59.86	59.86	59.86	59.86	59.86	59.86	59.86	59.86	59.86	59.86	59.86
BTY-X34308600330021	food/fleisch-wurstwaren/fleisch-tiefgekühlt	Cedrob Polnische Hafermastgans, tiefgefroren - ca. 4,4 kg Stück	26.32	26.32	26.32	26.32	26.32	26.32	26.32	26.32	26.32	26.32	20.91	20.91	20.91	20.91	20.91	20.91	20.91	20.91	20.91	20.91	20.91	20.91	20.91	20.91
BTY-X12373800330021	food/fleisch-wurstwaren/fleisch-tiefgekühlt	Polnische Hafermastgans tiefgefroren - ca. 4,4 kg Stück	26.32	26.32	26.32	26.32	26.32	26.32	26.32	26.32	26.32	26.32	20.91	20.91	20.91	20.91	20.91	20.91	20.91	20.91	20.91	20.91	20.91	20.91	20.91	20.91
BTY-X34308600320021	food/fleisch-wurstwaren/fleisch-tiefgekühlt	Cedrob Polnische Hafermastgans, tiefgefroren - ca. 4,2 kg Stück	25.12	25.12	25.12	25.12	25.12	25.12	25.12	25.12	25.12	25.12	19.96	19.96	19.96	19.96	19.96	19.96	19.96	19.96	19.96	19.96	19.96	19.96	19.96	19.96
BTY-X12373800320021	food/fleisch-wurstwaren/fleisch-tiefgekühlt	Polnische Hafermastgans tiefgefroren - ca. 4,2 kg Stück	25.12	25.12	25.12	25.12	25.12	25.12	25.12	25.12	25.12	25.12	19.96	19.96	19.96	19.96	19.96	19.96	19.96	19.96	19.96	19.96	19.96	19.96	19.96	19.96
BTY-X35397600320021	food/fisch/süßwasserfische/forelle	Fjord Forellenfilet mit Haut, ohne Kopf, geschnitten, TRIMB C ca. 3 - 4 kg	31.55	31.55	31.55	31.55	31.55	31.55	32.09	32.09	32.09	32.09	32.09	32.09	32.09	32.09	32.09	32.09	32.09	32.09	32.09	32.09	28.34	28.34	28.34	28.34
BTY-Z125000320021	food/gemüse/kohlgemüse	Steckrüben Kiste	19.25	19.25	19.25	19.25	19.25	19.25	19.25	19.25	14.97	14.97	14.97	14.97	14.97	14.97	14.97	14.97	14.97	14.97	14.97	14.97			14.97	14.97
BTY-X28004600320021	food/feinkost/fleisch-wurstwaren	aro Brühwurstsortiment Jagdwurst, Bierwurst, Mortadella, Fleischwurst & Bierschinken, 5 Sorten à 1,25 kg - ca. 6,25 kg Packung	9.62	9.62	9.62	9.62	9.62	9.62	9.62	9.62	9.62	9.62	9.62	9.62	9.62	9.62	9.62	9.62	9.62	9.62	9.62	9.62	8.55	8.55	8.55	8.55
BTY-X28004600320021	food/feinkost/fleisch-wurstwaren	aro Brühwurstsortiment Jagdwurst, Bierwurst, Mortadella, Fleischwurst & Bierschinken, 5 Sorten à 1,25 kg - ca. 6,25 kg Packung	9.62	9.62	9.62	9.62	9.62	9.62	9.62	9.62	9.62	9.62	9.62	9.62	9.62	9.62	9.62	9.62	9.62	9.62	9.62	9.62	8.55	8.55	8.55	8.55
BTY-X43542800320021	food/gemüse/fruchtgemüse/tomate	Romatomaten, Spanien - 500 g Becher	2.56	2.56	2.56	2.56	2.56	2.56	1.81	1.81	1.81	1.81	1.81	1.81	1.81	1.81	1.81	1.81	1.81	1.81	1.81	1.81	1.81	1.81	1.81	1.81
BTY-X93484900320021	food/fleisch-wurstwaren/wurst-schinken/brühwurst/brühwurst-aufschnitt	aro Jagdwurst gebrüht, grob, halbe Stücke ca. 1,25 kg Stücke	10.69	10.69	10.69	10.69	10.69	10.69	10.69	10.69	10.69	10.69	10.69	10.69	10.69	10.69	10.69	10.69	10.69	10.69	10.69	10.69	10.69	10.69	9.62	9.62
BTY-X1088100320021	food/fleisch-wurstwaren/wurst-schinken/brühwurst/bratwurst	aro Curry Bockwurst, gekühlt, 20 Stück à ca. 180 g - ca. 3,6 kg Packung	10.69	10.69	10.69	10.69	10.69	10.69	10.69	10.69	10.69	10.69	10.69	10.69	10.69	10.69	10.69	10.69	10.69	10.69	10.69	10.69	10.69	10.69	9.62	9.62
