key	category	name	offer-2023-12-08	default-2023-12-08	offer-2023-12-09	default-2023-12-09	offer-2023-12-10	default-2023-12-10	offer-2023-12-11	default-2023-12-11	offer-2023-12-12	default-2023-12-12	offer-2023-12-13	default-2023-12-13	offer-2023-12-14	default-2023-12-14	offer-2023-12-15	default-2023-12-15	offer-2023-12-16	default-2023-12-16	offer-2023-12-17	default-2023-12-17	offer-2023-12-18	default-2023-12-18	offer-2023-12-20	default-2023-12-20
BTY-X9971000320021	non-food/pflege-kosmetik-babynahrung/kosmetik-körperpflege-mundhygiene/arzneimittel-(otc)	Doppelherz Aktiv Weißdorn 90 Dragees	5.62	5.62	5.62	5.62	5.62	5.62	5.62	5.62	5.62	5.62	5.62	5.62	5.62	5.62	4.27	4.27	4.27	4.27	4.27	4.27	4.27	4.27	4.27	4.27
BTY-X9971000320021	non-food/pflege-kosmetik-babynahrung/kosmetik-körperpflege-mundhygiene/arzneimittel-(otc)	Doppelherz Aktiv Weißdorn 90 Dragees	5.62	5.62	5.62	5.62	5.62	5.62	5.62	5.62	5.62	5.62	5.62	5.62	5.62	5.62	4.27	4.27	4.27	4.27	4.27	4.27	4.27	4.27	4.27	4.27
BTY-X31692700350021	non-food/pflege-kosmetik-babynahrung/kosmetik-körperpflege-mundhygiene/kosmetik-körperpflege	Bärnangen Body Lotion Oil Intense - 400 ml	6.99	6.99	6.99	6.99	6.99	6.99	6.99	6.99	6.99	6.99	6.99	6.99	6.99	6.99	5.34	5.34	5.34	5.34	5.34	5.34	5.34	5.34	5.34	5.34
BTY-X6812100320022	non-food/reinigung/putz-reinigungsmittel	Sidolin Glasreiniger Cristal flüssig - 10 x 500 ml Karton	23.68	23.68	23.68	23.68	23.68	23.68	23.68	23.68	23.68	23.68	23.68	23.68	23.68	23.68	23.68	23.68	23.68	23.68			23.68	23.68	19.87	19.87
BTY-X6812100340022	non-food/reinigung/putz-reinigungsmittel	Sidolin Glasreiniger Multi-Flächen flüssig - 10 x 500 ml Flaschen	23.68	23.68	23.68	23.68	23.68	23.68	23.68	23.68	23.68	23.68	23.68	23.68	23.68	23.68	23.68	23.68	23.68	23.68			23.68	23.68	19.87	19.87
BTY-X6812100330022	non-food/reinigung/putz-reinigungsmittel	Sidolin Glasreiniger Zitrus flüssig - 10 x 500 ml Karton	23.68	23.68	23.68	23.68	23.68	23.68	23.68	23.68	23.68	23.68	23.68	23.68	23.68	23.68	23.68	23.68	23.68	23.68	23.68	23.68	23.68	23.68	19.87	19.87
BTY-X35964500320021	non-food/gastro-haushalt/küchenausstattung/vorratsdosen	METRO PROFESSIONAL Frischhaltedose 2/3 150 mm - 1 Stück	15.46	15.46	15.46	15.46	15.46	15.46	15.46	15.46	15.46	15.46	15.46	15.46	15.46	15.46	11.89	11.89	11.89	11.89	11.89	11.89	11.89	11.89	11.89	11.89
BTY-X6812100320021	non-food/reinigung/putz-reinigungsmittel	Sidolin Glasreiniger Cristal flüssig - 500 ml Flasche	2.37	2.37	2.37	2.37	2.37	2.37	2.37	2.37	2.37	2.37	2.37	2.37	2.37	2.37	2.37	2.37	2.37	2.37			2.37	2.37	1.99	1.99
BTY-X6812100340021	non-food/reinigung/putz-reinigungsmittel	Sidolin Glasreiniger Multi-Flächen flüssig - 500 ml Flasche	2.37	2.37	2.37	2.37	2.37	2.37	2.37	2.37	2.37	2.37	2.37	2.37	2.37	2.37	2.37	2.37	2.37	2.37			2.37	2.37	1.99	1.99
BTY-X6812100330021	non-food/reinigung/putz-reinigungsmittel	Sidolin Glasreiniger Zitrus flüssig - 500 ml Flasche	2.37	2.37	2.37	2.37	2.37	2.37	2.37	2.37	2.37	2.37	2.37	2.37	2.37	2.37	2.37	2.37	2.37	2.37	2.37	2.37	2.37	2.37	1.99	1.99
BTY-X38469700320021	non-food/gastro-haushalt/abfalleimer-und-wäschetonnen	METRO PROFESSIONAL Abfallsammler 50 l	59.49	59.49	59.49	59.49	59.49	59.49	59.49	59.49	59.49	59.49	59.49	59.49	59.49	59.49	59.49	59.49	59.49	59.49	59.49	59.49	59.49	59.49	49.97	49.97
BTY-X17397600320021	non-food/großelektro-kleinelektro/kleinelektro/küchengeräte	Gastroback Design Fleischwolf Advanced	297.49	297.49	297.49	297.49	297.49	297.49	297.49	297.49	297.49	297.49	297.49	297.49	297.49	297.49	297.49	297.49	297.49	297.49	297.49	297.49	297.49	297.49	249.89	249.89
BTY-X26313000320021	non-food/gastro-haushalt/geschirr-besteck-gläser/gläser	APS Gourmetgläser 0,035 l	9.98	9.98	9.98	9.98	9.98	9.98	9.98	9.98	9.98	9.98	7.14	7.14	7.14	7.14	7.14	7.14	7.14	7.14	7.14	7.14	7.14	7.14	7.14	7.14
BTY-X44052900320021	non-food/gastro-haushalt/geschirr-besteck-gläser/einweggeschirr	PAPSTAR Shake-Halme Papier Rot Ø 8 mm x 25 cm 135 Stück	7.13	7.13	7.13	7.13	7.13	7.13	7.13	7.13	7.13	7.13	7.13	7.13	7.13	7.13	5.58	5.58	5.58	5.58	5.58	5.58	5.58	5.58	5.58	5.58
BTY-X17383700340021	non-food/pflege-kosmetik-babynahrung/kosmetik-körperpflege-mundhygiene/kosmetik-körperpflege	Sagrotan No-Touch Starter Set Kids - 250 ml Karton	9.51	9.51	9.51	9.51	9.51	9.51	9.51	9.51	9.51	9.51	9.51	9.51	9.51	9.51	7.49	7.49	7.49	7.49	7.49	7.49	7.49	7.49	7.49	7.49
BTY-X35963400320021	non-food/gastro-haushalt/küchenausstattung/vorratsdosen	METRO PROFESSIONAL Frischhaltedose 1/1 150 mm - 1 Stück	20.22	20.22	20.22	20.22	20.22	20.22	20.22	20.22	20.22	20.22	20.22	20.22	20.22	20.22	15.93	15.93	15.93	15.93	15.93	15.93	15.93	15.93	15.93	15.93
BTY-X35964900320021	non-food/gastro-haushalt/küchenausstattung/vorratsdosen	METRO PROFESSIONAL Frischhaltedose 1/1 200 mm - 1 Stück	20.22	20.22	20.22	20.22	20.22	20.22	20.22	20.22	20.22	20.22	20.22	20.22	20.22	20.22	15.93	15.93	15.93	15.93	15.93	15.93	15.93	15.93	15.93	15.93
BTY-X35961600320021	non-food/gastro-haushalt/küchenausstattung/vorratsdosen	METRO PROFESSIONAL Frischhaltedose 2/3 200 mm - 1 Stück	16.65	16.65	16.65	16.65	16.65	16.65			16.65	16.65	16.65	16.65	16.65	16.65	13.08	13.08	13.08	13.08	13.08	13.08	13.08	13.08	13.08	13.08
BTY-X35963000320021	non-food/gastro-haushalt/küchenausstattung/vorratsdosen	METRO PROFESSIONAL Frischhaltedose 1/4 100 mm - 1 Stück	5.94	5.94	5.94	5.94	5.94	5.94	5.94	5.94	5.94	5.94	5.94	5.94	5.94	5.94	4.75	4.75	4.75	4.75	4.75	4.75	4.75	4.75	4.75	4.75
BTY-X50697800320021	non-food/pflege-kosmetik-babynahrung/kosmetik-körperpflege-mundhygiene/körperhygiene-produkte	Tork Premium Falt-Papierhandtücher H2, extra soft, 21,2 x 34 cm, Weiß, 2-lagig, 7 Stapel à 100 Blatt	20.81	20.81	20.81	20.81	20.81	20.81	20.81	20.81	20.81	20.81	20.81	20.81	20.81	20.81	17.01	17.01	17.01	17.01	17.01	17.01	17.01	17.01	17.01	17.01
BTY-X35956000320021	non-food/gastro-haushalt/küchenausstattung/vorratsdosen	METRO PROFESSIONAL Frischhaltedose 1/4 150 mm - 1 Stück	6.53	6.53	6.53	6.53	6.53	6.53	6.53	6.53	6.53	6.53	6.53	6.53	6.53	6.53	5.34	5.34	5.34	5.34	5.34	5.34	5.34	5.34	5.34	5.34
BTY-X7440800320021	non-food/freizeit-heimwerken-kfz/spielwaren/kleinspielzeug	Mattel Hot Wheels Color Change Fahrzeuge 1:64	7.13	7.13	7.13	7.13	7.13	7.13	7.13	7.13	7.13	7.13	5.46	4.76	5.46	4.76	5.46	4.76	5.46	4.76	5.46	4.76	5.46	4.76	5.46	4.76
BTY-X95964800320021	non-food/pflege-kosmetik-babynahrung/kosmetik-körperpflege-mundhygiene/körperhygiene-produkte	Doppelherz Aktiv Omega-3 Seefischöl Nahrungsergänzungsmittel Kapseln mit Seefischöl und Vitamin E 80 Stück Packung	8.44	8.44	8.44	8.44	8.44	8.44	8.44	8.44	8.44	8.44	8.44	8.44	8.44	8.44	6.94	6.94	6.94	6.94	6.94	6.94	6.94	6.94	6.94	6.94
BTY-X14733200320021	non-food/großelektro-kleinelektro/kleinelektro/küchengeräte	Tarrington House Multipfanne MP 1400	29.74	29.74	29.74	29.74	29.74	29.74	29.74	29.74	29.74	29.74	29.74	29.74	29.74	29.74	29.74	29.74	29.74	29.74	29.74	29.74	29.74	29.74	26.17	26.17
BTY-X11350900340021	non-food/pflege-kosmetik-babynahrung/kosmetik-körperpflege-mundhygiene/körperhygiene-produkte	Elvital Anti-Haarbruch Tiefen-Aufbaukur Aufbau-Ceramid - 125 ml Flasche	4.75	4.75	4.75	4.75	4.75	4.75	4.75	4.75	4.75	4.75	4.75	4.75	4.75	4.75	3.92	3.92	3.92	3.92	3.92	3.92	3.92	3.92	3.92	3.92
BTY-X11350900340021	non-food/pflege-kosmetik-babynahrung/kosmetik-körperpflege-mundhygiene/körperhygiene-produkte	Elvital Anti-Haarbruch Tiefen-Aufbaukur Aufbau-Ceramid - 125 ml Flasche	4.75	4.75	4.75	4.75	4.75	4.75	4.75	4.75	4.75	4.75	4.75	4.75	4.75	4.75	3.92	3.92	3.92	3.92	3.92	3.92	3.92	3.92	3.92	3.92
BTY-X37710300330021	non-food/gastro-haushalt/geschirr-besteck-gläser/einweggeschirr	HYGOSTAR Einmalhandschuhe Safe Light Schwarz Nitril Größe M puderfrei 100 Stück	7.13	7.13	7.13	7.13	7.13	7.13	7.13	7.13	7.13	7.13	7.13	7.13	7.13	7.13	5.94	5.94	5.94	5.94	5.94	5.94	5.94	5.94	5.94	5.94
BTY-X37710300340021	non-food/gastro-haushalt/geschirr-besteck-gläser/einweggeschirr	HYGOSTAR Einmalhandschuhe Safe Light Schwarz Nitril Größe L puderfrei 100 Stück	7.13	7.13	7.13	7.13	7.13	7.13	7.13	7.13	7.13	7.13	7.13	7.13	7.13	7.13	5.94	5.94	5.94	5.94	5.94	5.94	5.94	5.94	5.94	5.94
BTY-X37710300350021	non-food/gastro-haushalt/geschirr-besteck-gläser/einweggeschirr	HYGOSTAR Einmalhandschuhe Safe Light Schwarz Nitril Größe XL puderfrei 100 Stück	7.13	7.13	7.13	7.13	7.13	7.13	7.13	7.13	7.13	7.13	7.13	7.13	7.13	7.13	5.94	5.94	5.94	5.94	5.94	5.94	5.94	5.94	5.94	5.94
BTY-X35956400320021	non-food/gastro-haushalt/küchenausstattung/vorratsdosen	METRO PROFESSIONAL Frischhaltedose 1/3 100 mm - 1 Stück	7.13	7.13	7.13	7.13	7.13	7.13	7.13	7.13	7.13	7.13	7.13	7.13	7.13	7.13	5.94	5.94	5.94	5.94	5.94	5.94	5.94	5.94	5.94	5.94
BTY-X31686300340021	non-food/gastro-haushalt/servietten-kerzen/weihnachten	Tarrington House Spitze Porzellanweiß matt 28 cm - 1 Stück									7.72	7.72	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17
BTY-X31686300350021	non-food/gastro-haushalt/servietten-kerzen/weihnachten	Tarrington House Spitze Porzellanweiß Opal 28 cm - 1 Stück									7.72	7.72	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17
BTY-X25192900390021	non-food/bekleidung-textilien/textilien/decken	Tarrington House Fleece Decke gekettelt Rot 150 x 200 cm - 1 Stück	8.91	8.91	8.91	8.91	8.91	8.91	8.91	8.91	8.91	8.91	8.91	8.91	8.91	8.91	7.49	7.49	7.49	7.49	7.49	7.49	7.49	7.49	7.49	7.49
BTY-X25192900580021	non-food/bekleidung-textilien/textilien/decken	Tarrington House Fleece Decke gekettelt Schwarz 150 x 200 cm	8.91	8.91	8.91	8.91	8.91	8.91	8.91	8.91	8.91	8.91	8.91	8.91	8.91	8.91	7.49	7.49	7.49	7.49	7.49	7.49	7.49	7.49	7.49	7.49
BTY-X25192900370021	non-food/bekleidung-textilien/textilien/decken	Tarrington House Fleece Decke gekettelt Weiß 150 x 200 cm - 1 Stück	8.91	8.91	8.91	8.91	8.91	8.91	8.91	8.91	8.91	8.91	8.91	8.91	8.91	8.91	7.49	7.49	7.49	7.49	7.49	7.49	7.49	7.49	7.49	7.49
BTY-X25192900340021	non-food/bekleidung-textilien/textilien/decken	Tarrington House Fleece Decke gekettelt Grau 150 x 200 cm - 1 Stück	8.91	8.91	8.91	8.91	8.91	8.91	8.91	8.91	8.91	8.91	8.91	8.91	8.91	8.91	7.49	7.49	7.49	7.49	7.49	7.49	7.49	7.49	7.49	7.49
BTY-X25192900350021	non-food/bekleidung-textilien/textilien/decken	Tarrington House Fleece Decke gekettelt Marine 150 x 200 cm - 1 Stück	8.91	8.91	8.91	8.91	8.91	8.91	8.91	8.91	8.91	8.91	8.91	8.91	8.91	8.91	7.49	7.49	7.49	7.49	7.49	7.49	7.49	7.49	7.49	7.49
BTY-X25192900570021	non-food/bekleidung-textilien/textilien/decken	Tarrington House Th Fleece Decke Gekettelt 150X Lime Green 150X200	8.91	8.91	8.91	8.91	8.91	8.91	8.91	8.91	8.91	8.91	8.91	8.91	8.91	8.91	7.49	7.49	7.49	7.49	7.49	7.49	7.49	7.49	7.49	7.49
BTY-X25192900320021	non-food/bekleidung-textilien/textilien/decken	Tarrington House Fleece Decke gekettelt Anthrazit 150 x 200 cm - 1 Stück	8.91	8.91	8.91	8.91	8.91	8.91	8.91	8.91	8.91	8.91	8.91	8.91	8.91	8.91	7.49	7.49	7.49	7.49	7.49	7.49	7.49	7.49	7.49	7.49
BTY-X25192900330021	non-food/bekleidung-textilien/textilien/decken	Tarrington House Fleece Decke gekettelt Bordeaux 150 x 200 cm - 1 Stück	8.91	8.91	8.91	8.91	8.91	8.91	8.91	8.91	8.91	8.91	8.91	8.91	8.91	8.91	7.49	7.49	7.49	7.49	7.49	7.49	7.49	7.49	7.49	7.49
BTY-X33683200340021	non-food/freizeit-heimwerken-kfz/spielwaren/gesellschaftsspiele	Ass Tier-Quartett Bauernhof	2.37	2.37	2.37	2.37	2.37	2.37	2.37	2.37	2.37	2.37	1.96	1.79			1.96	1.79	1.96	1.79	1.96	1.79			1.96	1.79
BTY-X6666500320022	food/trockensortiment/ketchup-saucen-mayonnaise-senf	Collitali Geschenkpackung Salze der Welt - 36 x 255 g Stücke	642.17	642.17	642.17	642.17	642.17	642.17	642.17	642.17	642.17	642.17	642.17	642.17	642.17	642.17	642.17	642.17	642.17	642.17	642.17	642.17	642.17	642.17	427.97	427.97
BTY-X6666500320022	food/trockensortiment/ketchup-saucen-mayonnaise-senf	Collitali Geschenkpackung Salze der Welt - 36 x 255 g Stücke	642.17	642.17	642.17	642.17	642.17	642.17	642.17	642.17	642.17	642.17	642.17	642.17	642.17	642.17	642.17	642.17	642.17	642.17	642.17	642.17	642.17	642.17	427.97	427.97
BTY-X6666500320021	food/trockensortiment/ketchup-saucen-mayonnaise-senf	Collitali Geschenkpackung Salze der Welt - 255 g Stück	17.84	17.84	17.84	17.84	17.84	17.84	17.84	17.84	17.84	17.84	17.84	17.84	17.84	17.84	17.84	17.84	17.84	17.84	17.84	17.84	17.84	17.84	11.89	11.89
BTY-X6666500320021	food/trockensortiment/ketchup-saucen-mayonnaise-senf	Collitali Geschenkpackung Salze der Welt - 255 g Stück	17.84	17.84	17.84	17.84	17.84	17.84	17.84	17.84	17.84	17.84	17.84	17.84	17.84	17.84	17.84	17.84	17.84	17.84	17.84	17.84	17.84	17.84	11.89	11.89
BTY-X43526400330021	food/gemüse/kartoffeln	Süßkartoffeln, Ägypten - 6 kg Kiste	20.22	20.22	20.22	20.22	20.22	20.22	20.22	20.22	20.22	20.22	20.22	20.22	20.22	20.22	20.22	20.22	20.22	20.22	20.22	20.22	14.27	14.27	14.27	14.27
BTY-X53956600320022	food/alkoholische-getränke/wein	André Vonnier Beaujolais Nouveau Rotwein trocken - 6 x 750 ml Karton	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	23.8	23.8	23.8	23.8	23.8	23.8
BTY-X1552600320021	food/obst/südfrüchte-zitrusfrüchte/zitrone	METRO Chef Zitronen Spanien - 1,5 kg Netz	3.52	3.52	3.52	3.52	3.52	3.52	3.52	3.52	3.52	3.52	3.52	3.52	3.52	3.52	3.52	3.52	3.52	3.52	3.52	3.52	2.66	2.66	2.66	2.66
BTY-X6426700320021	food/trockensortiment/gewürze	FUCHS Petersilie gerebelt - 15 g Packung	1.61	1.61	1.61	1.61	1.61	1.61	1.61	1.61	1.61	1.61	1.07	1.07	1.07	1.07	1.07	1.07	1.07	1.07	1.07	1.07			1.07	1.07
BTY-X1902500320021	food/fleisch-wurstwaren/fleisch-tiefgekühlt	Puten Brustfilet ohne Haut & Knochen, tiefgefroren, männlich - ca. 2 kg	7.48	7.48	7.48	7.48	7.48	7.48	7.48	7.48	7.48	7.48	7.48	7.48	7.48	7.48	7.48	7.48	7.48	7.48	7.48	7.48	5.87	5.87	5.87	5.87
BTY-X16206800320021	food/trockensortiment/gewürze	FUCHS Piment ganz - 19 g Beutel	1.61	1.61	1.61	1.61	1.61	1.61	1.61	1.61	1.61	1.61	1.07	1.07	1.07	1.07	1.07	1.07	1.07	1.07	1.07	1.07	1.07	1.07	1.07	1.07
BTY-X53587300320021	food/fleisch-wurstwaren/fleisch/rind/irish-beef	Färsen Zungenstück vom jungen Rind, ohne Knochen, vak.-verpackt ca. 3,5 kg Stücke	11.01	11.01	11.01	11.01	11.01	11.01	11.01	11.01	11.01	11.01	11.01	11.01	11.01	11.01	11.01	11.01	11.22	11.22	11.22	11.22	8.87	8.87	8.87	8.87
BTY-X7785500320021	food/tiefkühl/kartoffelprodukte-und-backwaren	Schne frost Patatas Bravas tiefgefroren - 2,5 kg Beutel	9.54	9.54	9.54	9.54	9.54	9.54	9.54	9.54	9.54	9.54	9.54	9.54	9.54	9.54	9.54	9.54	9.54	9.54	9.54	9.54	9.54	9.54	7.8	7.8
BTY-X74600320021	food/fisch/süßwasserfische/zander	Zanderfilet, mit Haut, Trim B, ca. 400 - 900 g Stücke	31.02	31.02	31.02	31.02	31.02	31.02	31.02	31.02	19.25	19.25	19.25	19.25	19.25	19.25	19.25	19.25	19.25	19.25	19.25	19.25	19.25	19.25	19.25	19.25
BTY-X3436400320022	food/molkereiprodukte/joghurt-quark-desserts	Frankenland Top H-Fruchtjoghurt 3,5 % Fett, versch. Sorten (Erdbeere, Ananas-Mandarine, Pfirsich-Maracuja o. Waldfrüchte) 20 x 75 g Becher	7.49	7.49	7.49	7.49	7.49	7.49	7.49	7.49	7.49	7.49	7.49	7.49	7.49	7.49	7.49	7.49	7.49	7.49	7.49	7.49	7.49	7.49	6.21	6.21
BTY-X3458200320022	food/molkereiprodukte/joghurt-quark-desserts	Frankenland Fit H-Fruchtjoghurt verschiedene Sorten 0,1 % Fett 20 x 75 g Becher	7.49	7.49	7.49	7.49	7.49	7.49	7.49	7.49	7.49	7.49	7.49	7.49	7.49	7.49	7.49	7.49	7.49	7.49	7.49	7.49	7.49	7.49	6.21	6.21
BTY-X38049900320021	food/gemüse/fruchtgemüse/tomate	Romarispentomaten San Marzano - Niederlande 1,5 kg	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	18.18	14.97	14.97	14.97	14.97
BTY-X3436400320021	food/molkereiprodukte/joghurt-quark-desserts	Frankenland Top H-Fruchtjoghurt 3,5 % Fett, versch. Sorten (Erdbeere, Ananas-Mandarine, Pfirsich-Maracuja o. Waldfrüchte) 75 g Becher	0.37	0.37	0.37	0.37	0.37	0.37	0.37	0.37	0.37	0.37	0.37	0.37	0.37	0.37	0.37	0.37	0.37	0.37	0.37	0.37	0.37	0.37	0.31	0.31
BTY-X3458200320021	food/molkereiprodukte/joghurt-quark-desserts	Frankenland Fit H-Fruchtjoghurt verschiedene Sorten 0,1 % Fett 75 g Becher	0.37	0.37	0.37	0.37	0.37	0.37	0.37	0.37	0.37	0.37	0.37	0.37	0.37	0.37	0.37	0.37	0.37	0.37	0.37	0.37	0.37	0.37	0.31	0.31
BTY-X43904100320021	food/gemüse/fruchtgemüse/tomate	Datteltomaten, Marokko - 1 kg Kiste	6.09	6.09	6.09	6.09	6.09	6.09	6.09	6.09	6.09	6.09	6.09	6.09	6.09	6.09	4.7	4.7	4.7	4.7	4.7	4.7	4.7	4.7	4.7	4.7
BTY-X1552600320022	food/obst/südfrüchte-zitrusfrüchte/zitrone	METRO Chef Zitronen Spanien - 10 x 1,5 kg Kiste	30.92	30.92	30.92	30.92	30.92	30.92	30.92	30.92	30.92	30.92	30.92	30.92	30.92	30.92	30.92	30.92	30.92	30.92	30.92	30.92	25.67	25.67	25.67	25.67
BTY-X42202600320021	food/fleisch-wurstwaren/fleisch/kalb	METRO Chef Kalbskarree, French Rack, geteilt, gekühlt - je kg	33.69	27.81	33.69	27.81	33.69	27.81	33.69	27.81	33.69	27.81	33.69	27.81	26.74	26.74	27.81	27.81	33.69	27.81	33.69	27.81	33.69	27.81	27.81	27.81
